"18,9417; 2008; Apr Average; Morocco; MAR";18,9417;Apr Average;Morocco;Mar
"18,3062; 2008; May Average; Morocco; MAR";18,3062;May Average;Morocco;Mar
"2,58099; 2008; Jun Average; Morocco; MAR";2,58099;Jun Average;Morocco;Mar
"4,53598; 2008; Jul Average; Morocco; MAR";4,53598;Jul Average;Morocco;Mar
"3,68721; 2008; Aug Average; Morocco; MAR";3,68721;Aug Average;Morocco;Mar
"36,6202; 2008; Sep Average; Morocco; MAR";36,6202;Sep Average;Morocco;Mar
"60,5205; 2008; Oct Average; Morocco; MAR";60,5205;Oct Average;Morocco;Mar
"46,5231; 2008; Nov Average; Morocco; MAR";46,5231;Nov Average;Morocco;Mar
"54,061; 2008; Dec Average; Morocco; MAR";54,061;Dec Average;Morocco;Mar
"54,4352; 2009; Jan Average; Morocco; MAR";54,4352;Jan Average;Morocco;Mar
"75,4399; 2009; Feb Average; Morocco; MAR";75,4399;Feb Average;Morocco;Mar
"55,4021; 2009; Mar Average; Morocco; MAR";55,4021;Mar Average;Morocco;Mar
"13,3524; 2009; Apr Average; Morocco; MAR";13,3524;Apr Average;Morocco;Mar
"4,01329; 2009; May Average; Morocco; MAR";4,01329;May Average;Morocco;Mar
"9,06021; 2009; Jun Average; Morocco; MAR";9,06021;Jun Average;Morocco;Mar
"3,38189; 2009; Jul Average; Morocco; MAR";3,38189;Jul Average;Morocco;Mar
"1,44961; 2009; Aug Average; Morocco; MAR";1,44961;Aug Average;Morocco;Mar
"32,335; 2009; Sep Average; Morocco; MAR";32,335;Sep Average;Morocco;Mar
"7,1604; 2009; Oct Average; Morocco; MAR";7,1604;Oct Average;Morocco;Mar
"11,5599; 2009; Nov Average; Morocco; MAR";11,5599;Nov Average;Morocco;Mar
"84,8924; 2009; Dec Average; Morocco; MAR";84,8924;Dec Average;Morocco;Mar
"76,3744; 2010; Jan Average; Morocco; MAR";76,3744;Jan Average;Morocco;Mar
"101,686; 2010; Feb Average; Morocco; MAR";101,686;Feb Average;Morocco;Mar
"50,1881; 2010; Mar Average; Morocco; MAR";50,1881;Mar Average;Morocco;Mar
"26,1047; 2010; Apr Average; Morocco; MAR";26,1047;Apr Average;Morocco;Mar
"10,6887; 2010; May Average; Morocco; MAR";10,6887;May Average;Morocco;Mar
"9,05667; 2010; Jun Average; Morocco; MAR";9,05667;Jun Average;Morocco;Mar
"9,86709; 2010; Jul Average; Morocco; MAR";9,86709;Jul Average;Morocco;Mar
"14,1455; 2010; Aug Average; Morocco; MAR";14,1455;Aug Average;Morocco;Mar
"9,9284; 2010; Sep Average; Morocco; MAR";9,9284;Sep Average;Morocco;Mar
"34,4068; 2010; Oct Average; Morocco; MAR";34,4068;Oct Average;Morocco;Mar
"63,014; 2010; Nov Average; Morocco; MAR";63,014;Nov Average;Morocco;Mar
"41,5957; 2010; Dec Average; Morocco; MAR";41,5957;Dec Average;Morocco;Mar
"34,8592; 2011; Jan Average; Morocco; MAR";34,8592;Jan Average;Morocco;Mar
"19,7593; 2011; Feb Average; Morocco; MAR";19,7593;Feb Average;Morocco;Mar
"51,5363; 2011; Mar Average; Morocco; MAR";51,5363;Mar Average;Morocco;Mar
"58,3927; 2011; Apr Average; Morocco; MAR";58,3927;Apr Average;Morocco;Mar
"57,7971; 2011; May Average; Morocco; MAR";57,7971;May Average;Morocco;Mar
"13,8417; 2011; Jun Average; Morocco; MAR";13,8417;Jun Average;Morocco;Mar
"1,42646; 2011; Jul Average; Morocco; MAR";1,42646;Jul Average;Morocco;Mar
"9,38132; 2011; Aug Average; Morocco; MAR";9,38132;Aug Average;Morocco;Mar
"3,97359; 2011; Sep Average; Morocco; MAR";3,97359;Sep Average;Morocco;Mar
"28,2539; 2011; Oct Average; Morocco; MAR";28,2539;Oct Average;Morocco;Mar
"68,5342; 2011; Nov Average; Morocco; MAR";68,5342;Nov Average;Morocco;Mar
"8,6655; 2011; Dec Average; Morocco; MAR";8,6655;Dec Average;Morocco;Mar
"24,0655; 2012; Jan Average; Morocco; MAR";24,0655;Jan Average;Morocco;Mar
"7,4091; 2012; Feb Average; Morocco; MAR";7,4091;Feb Average;Morocco;Mar
"49,8584; 2012; Mar Average; Morocco; MAR";49,8584;Mar Average;Morocco;Mar
"55,234; 2012; Apr Average; Morocco; MAR";55,234;Apr Average;Morocco;Mar
"4,46599; 2012; May Average; Morocco; MAR";4,46599;May Average;Morocco;Mar
"1,70138; 2012; Jun Average; Morocco; MAR";1,70138;Jun Average;Morocco;Mar
"1,27546; 2012; Jul Average; Morocco; MAR";1,27546;Jul Average;Morocco;Mar
"2,41941; 2012; Aug Average; Morocco; MAR";2,41941;Aug Average;Morocco;Mar
"34,146; 2012; Sep Average; Morocco; MAR";34,146;Sep Average;Morocco;Mar
"62,0698; 2012; Oct Average; Morocco; MAR";62,0698;Oct Average;Morocco;Mar
"67,1268; 2012; Nov Average; Morocco; MAR";67,1268;Nov Average;Morocco;Mar
"6,17722; 2012; Dec Average; Morocco; MAR";6,17722;Dec Average;Morocco;Mar
"26,4049; 2013; Jan Average; Morocco; MAR";26,4049;Jan Average;Morocco;Mar
"20,4719; 2013; Feb Average; Morocco; MAR";20,4719;Feb Average;Morocco;Mar
"74,9705; 2013; Mar Average; Morocco; MAR";74,9705;Mar Average;Morocco;Mar
"19,5276; 2013; Apr Average; Morocco; MAR";19,5276;Apr Average;Morocco;Mar
"14,9926; 2013; May Average; Morocco; MAR";14,9926;May Average;Morocco;Mar
"3,10364; 2013; Jun Average; Morocco; MAR";3,10364;Jun Average;Morocco;Mar
"2,82074; 2013; Jul Average; Morocco; MAR";2,82074;Jul Average;Morocco;Mar
"4,77575; 2013; Aug Average; Morocco; MAR";4,77575;Aug Average;Morocco;Mar
"21,9979; 2013; Sep Average; Morocco; MAR";21,9979;Sep Average;Morocco;Mar
"4,41969; 2013; Oct Average; Morocco; MAR";4,41969;Oct Average;Morocco;Mar
"21,5497; 2013; Nov Average; Morocco; MAR";21,5497;Nov Average;Morocco;Mar
"40,0657; 2013; Dec Average; Morocco; MAR";40,0657;Dec Average;Morocco;Mar
"52,7739; 2014; Jan Average; Morocco; MAR";52,7739;Jan Average;Morocco;Mar
"20,9098; 2014; Feb Average; Morocco; MAR";20,9098;Feb Average;Morocco;Mar
"22,3756; 2014; Mar Average; Morocco; MAR";22,3756;Mar Average;Morocco;Mar
"15,0608; 2014; Apr Average; Morocco; MAR";15,0608;Apr Average;Morocco;Mar
"14,8059; 2014; May Average; Morocco; MAR";14,8059;May Average;Morocco;Mar
"3,7003; 2014; Jun Average; Morocco; MAR";3,7003;Jun Average;Morocco;Mar
"3,22249; 2014; Jul Average; Morocco; MAR";3,22249;Jul Average;Morocco;Mar
"9,76803; 2014; Aug Average; Morocco; MAR";9,76803;Aug Average;Morocco;Mar
"20,2826; 2014; Sep Average; Morocco; MAR";20,2826;Sep Average;Morocco;Mar
"9,03976; 2014; Oct Average; Morocco; MAR";9,03976;Oct Average;Morocco;Mar
"104,567; 2014; Nov Average; Morocco; MAR";104,567;Nov Average;Morocco;Mar
"24,6545; 2014; Dec Average; Morocco; MAR";24,6545;Dec Average;Morocco;Mar
"37,7312; 2015; Jan Average; Morocco; MAR";37,7312;Jan Average;Morocco;Mar
"34,0063; 2015; Feb Average; Morocco; MAR";34,0063;Feb Average;Morocco;Mar
"39,7623; 2015; Mar Average; Morocco; MAR";39,7623;Mar Average;Morocco;Mar
"7,97792; 2015; Apr Average; Morocco; MAR";7,97792;Apr Average;Morocco;Mar
"19,3571; 2015; May Average; Morocco; MAR";19,3571;May Average;Morocco;Mar
"3,33377; 2015; Jun Average; Morocco; MAR";3,33377;Jun Average;Morocco;Mar
"6,22617; 2015; Jul Average; Morocco; MAR";6,22617;Jul Average;Morocco;Mar
"10,6982; 2015; Aug Average; Morocco; MAR";10,6982;Aug Average;Morocco;Mar
"25,8761; 2015; Sep Average; Morocco; MAR";25,8761;Sep Average;Morocco;Mar
"21,6544; 2015; Oct Average; Morocco; MAR";21,6544;Oct Average;Morocco;Mar
"8,6849; 2015; Nov Average; Morocco; MAR";8,6849;Nov Average;Morocco;Mar
"0,63626; 2015; Dec Average; Morocco; MAR";0,63626;Dec Average;Morocco;Mar
"11,1908; 2016; Jan Average; Morocco; MAR";11,1908;Jan Average;Morocco;Mar
"33,3148; 2016; Feb Average; Morocco; MAR";33,3148;Feb Average;Morocco;Mar
"23,8505; 2016; Mar Average; Morocco; MAR";23,8505;Mar Average;Morocco;Mar
"10,4514; 2016; Apr Average; Morocco; MAR";10,4514;Apr Average;Morocco;Mar
"41,5902; 2016; May Average; Morocco; MAR";41,5902;May Average;Morocco;Mar
"3,62796; 2016; Jun Average; Morocco; MAR";3,62796;Jun Average;Morocco;Mar
"7,15733; 2016; Jul Average; Morocco; MAR";7,15733;Jul Average;Morocco;Mar
"7,77799; 2016; Aug Average; Morocco; MAR";7,77799;Aug Average;Morocco;Mar
"8,127; 2016; Sep Average; Morocco; MAR";8,127;Sep Average;Morocco;Mar
"15,0475; 2016; Oct Average; Morocco; MAR";15,0475;Oct Average;Morocco;Mar
"53,7321; 2016; Nov Average; Morocco; MAR";53,7321;Nov Average;Morocco;Mar
"69,0023; 2016; Dec Average; Morocco; MAR";69,0023;Dec Average;Morocco;Mar
